ids;Rank;Gender;Athlete;Height;Weight;Smoking;Sprint;English;Reading;Math;Writing;LiveOnCampus
29115;4;0;1;184,1;98,6;0;5,550;86,30;92,01;65,03;76,40;0
29470;4;1;1;174,1;65,2;0;4,770;75,43;79,27;66,95;76,09;0
30139;4;0;1;193,5;94,6;0;5,115;86,22;79,21;68,17;72,81;0
31078;4;1;0;180;68,9;0;;82,12;69,32;58,70;84,21;0
31434;4;0;0;156,8;82,7;2;6,801;92,32;91,04;73,11;73,45;0
31575;4;0;1;167,1;75,8;0;4,974;76,02;71,41;72,19;72,54;0
32380;4;0;0;177;86,1;2;8,527;;73,03;65,42;86,18;0
32404;4;0;0;167,9;65,9;0;8,997;84,45;89,39;75,19;;0
32929;4;0;1;169,2;76,9;0;;;78,35;55,21;70,56;0
33022;4;0;1;180,2;71,4;0;5,771;87,37;84,39;70,13;75,07;0
33348;4;1;1;169,4;65,4;0;6,160;82,61;76,39;53,91;85,18;1
33628;4;1;1;175,9;71,3;2;6,905;75,59;85,97;66,84;79,35;0
34021;4;1;0;;;0;;87,72;84,99;65,31;;0
34272;4;0;1;173;59;0;;81,05;85,76;58,16;81,87;0
34362;4;1;0;159,5;70,3;1;7,268;78,07;75,30;60,59;80,50;0
34469;4;0;1;186,1;84,8;;5,341;87,01;83,46;61,09;79,60;0
34581;4;0;0;156,3;;0;6,685;89,06;;64,93;69,07;0
34591;4;1;0;171,9;70,4;;8,408;79,43;75,91;59,55;78,19;0
35269;4;0;1;181,5;65,4;0;;87,17;82,29;67,32;84,23;0
35684;4;0;0;;75,9;0;5,595;;86,65;63,07;71,33;0
35886;4;0;1;189,2;97,1;0;4,984;80,02;84,81;64,96;67,97;0
36404;4;0;0;169,5;86,2;0;8,112;;63,48;63,19;80,27;0
36563;4;1;0;168,3;68,8;0;7,036;83,53;80,02;66,33;84,21;0
37713;4;0;1;186,8;82,3;0;;70,76;80,71;69,43;74,74;0
38644;4;0;0;190;89,5;2;8,177;79,38;82,64;66,51;;0
38872;4;1;0;152,9;83,1;2;6,111;83,49;84,04;76,01;87,54;0
39298;4;1;1;169,4;69,1;1;6,233;75,65;77,24;60,24;75,23;0
39413;4;1;1;171,2;;0;4,927;89,35;71,08;59,71;77,94;0
39415;4;1;0;160,3;;0;6,960;83,70;82,00;56,14;84,95;0
40313;4;1;1;164,5;76,6;0;5,584;81,33;77,14;52,83;81,41;0
40697;4;0;0;174;59,8;0;9,125;91,01;86,87;70,25;82,67;0
40900;4;0;1;182,1;90,9;0;;92,22;88,87;63,82;88,80;0
41165;4;1;0;186;73,4;0;8,783;80,14;86,07;74,68;88,19;0
41168;4;0;1;205,4;102,7;0;5,998;73,63;79,24;71,05;78,69;0
41762;4;0;1;166,2;80,3;0;5,234;79,18;86,06;63,77;70,28;0
42826;4;0;1;170;71,1;1;5,648;83,41;86,06;77,26;79,55;0
43596;4;0;1;176,7;82,8;0;4,748;70,73;84,95;75,84;76,98;0
43676;4;1;0;174,9;60,3;0;7,620;87,00;81,94;47,07;78,77;0
44640;4;1;1;169,9;57,7;0;4,810;83,17;95,24;69,33;78,40;0
44968;4;0;0;205,1;102,3;0;7,079;88,62;78,27;68,66;77,58;0
45256;4;1;1;;79,3;2;6,486;84,96;90,88;59,03;79,53;
45762;4;1;0;167,7;;2;8,620;78,33;85,84;62,68;81,88;0
45928;4;1;0;175;65,4;2;9,159;81,07;85,37;;78,32;0
46439;4;1;0;160,7;86,7;0;6,900;84,35;74,53;55,72;86,93;0
47709;4;0;0;213,8;94,4;1;8,034;89,25;87,09;66,90;80,91;0
48112;4;1;1;169;75,6;0;6,364;77,66;87,67;75,85;;0
48238;4;0;0;170,8;123,6;2;5,295;78,90;68,82;62,43;75,59;0
48529;4;1;0;171;70;0;7,819;84,16;80,63;64,30;83,45;0
48958;4;1;1;168;72,1;2;7,079;85,75;77,39;44,70;80,65;0
49572;4;1;0;154,1;55,4;2;7,747;75,69;78,10;47,10;79,72;0
20183;;0;0;170;87,4;0;7,407;83,30;82,98;68,82;75,49;0
20278;;0;0;179,5;81,3;0;8,004;89,45;85,25;70,19;73,27;1
20389;;0;0;179,5;90;0;;96,73;86,88;71,20;84,24;
22820;;1;0;;90;;8,473;74,06;88,68;55,89;73,16;1
23643;;0;1;;;0;;80,86;75,15;75,69;81,12;0
24559;;1;1;171,3;58,1;2;;82,61;77,30;65,52;80,45;1
25871;;0;1;;67,5;0;4,524;83,95;74,02;74,92;64,06;0
26154;;1;0;149,4;58,4;0;6,737;74,88;79,61;51,30;79,64;0
26582;;0;1;187,2;89,4;0;4,749;85,67;67,62;53,06;77,68;
27496;;1;0;171,5;114;0;7,035;74,85;70,41;65,51;83,06;0
28942;;1;1;169,4;81,9;0;6,076;68,27;93,88;55,20;78,18;
28980;;0;1;173,9;77,8;0;4,650;70,10;;61,40;77,48;1
29045;;0;0;178,1;74,7;0;8,498;86,00;91,34;64,41;71,02;0
33312;;0;1;174,1;74,4;0;4,750;78,98;87,53;76,71;70,79;1
35676;;1;1;170;80,7;;;79,94;76,74;62,53;84,78;1
37701;;1;1;160,3;;2;6,499;85,71;78,06;66,83;82,99;1
38764;;0;1;165,6;63,5;0;4,661;101,95;74,45;66,80;88,50;0
39796;;1;0;183,8;104,4;2;7,312;88,97;86,53;52,48;81,21;0
40274;;0;1;182,7;101,1;0;;;67,31;58,64;65,89;0
40303;;1;0;151,4;84,5;0;;84,67;87,04;73,94;87,61;0
40390;;1;1;174,9;70,2;0;6,279;75,65;76,54;51,14;75,94;0
41092;;0;0;170,5;118,8;0;7,113;91,79;84,44;66,76;88,03;1
41291;;0;1;182;93,3;0;4,890;84,67;79,64;60,85;76,77;0
43344;;0;0;;60,2;1;7,443;70,42;85,29;57,95;79,22;1
43783;;0;0;183,8;;0;7,978;88,24;81,50;60,02;81,44;1
44116;;1;0;175,9;83,3;;;82,99;74,41;61,40;81,12;1
46752;;1;0;157,3;81,5;2;7,013;99,51;95,81;68,91;84,19;1
46919;;1;1;183,5;75,3;0;5,381;82,56;77,19;60,73;83,54;0
49688;;0;0;200,7;;0;;97,23;;67,72;84,35;1
;;;;;;;;;;;;
