"Agricultural methane emissions (% of total)","Agricultural nitrous oxide emissions (% of total)","Agriculture, forestry, and fishing, value added (current US$)","Changes in inventories (current US$)","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","CO2 emissions from gaseous fuel consumption (% of total)","CO2 emissions from gaseous fuel consumption (kt)","CO2 emissions from liquid fuel consumption (% of total)","CO2 emissions from liquid fuel consumption (kt)","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)","CO2 emissions from solid fuel consumption (% of total)","CO2 emissions from solid fuel consumption (kt)","CO2 emissions from transport (% of total fuel combustion)","CO2 intensity (kg per kg of oil equivalent energy use)","Energy related methane emissions (% of total)","Exports of goods and services (current US$)","External balance on goods and services (current US$)","Final consumption expenditure (current US$)","GDP (current US$)","GDP per capita (current US$)","General government final consumption expenditure (current US$)","GNI (current US$)","Gross capital formation (current US$)","Gross domestic savings (current US$)","Gross fixed capital formation (current US$)","Gross national expenditure (current US$)","Gross savings (current US$)","Gross value added at basic prices (GVA) (current US$)","Households and NPISHs Final consumption expenditure (current US$)","Imports of goods and services (current US$)","Industry (including construction), value added (current US$)","Manufacturing, value added (current US$)","Net primary income (Net income from abroad) (current US$)","Net secondary income (Net current transfers from abroad) (current US$)","Nitrous oxide emissions in energy sector (% of total)","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","Services, value added (current US$)","Taxes less subsidies on products (current US$)","Year","Country"
"true","true","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","Zimbabwe"
,,"false",,"true",,,,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false",,"false",,"false",,"false","false",,"false","false",,,,"false","false",,"false","Africa Eastern and Southern"
,,"false",,"false",,"false",,"false","false","false","false",,,"false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,,,"false","false",,"false","Africa Western and Central"
,,"false",,"false",,"false",,"false","false","false","false",,,"false","true",,,,"false","false","false","false","false","false","false","false","false",,"false","false",,"false","false",,,,"false","false",,"false","Arab World"
,,"false",,"true",,,,"false","false","false","false",,,"false","true",,,,,"false","false",,"false",,,,,,"false",,,"false",,,,,"false",,,"false","Caribbean small states"
,,,,"true",,,,"false","false","false","false",,"false","false","true",,,,,,,,,,,,,,,,,,,,,,"false",,,"false","Central Europe and the Baltics"
,,"false",,"false",,"false",,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","true",,,,"false","true",,"false","Early-demographic dividend"
,,"false",,"false",,"false",,"false","false","false","false",,"false","false","true",,"false",,"false","false","false","false","false","false","false","false","false",,,"false","false","true",,,,,"false",,,"false","East Asia & Pacific"
,,"false",,"false",,"false",,"false","true","false","false",,"false","false","true",,"false",,"false","false","false","false","false","false","false","false","false",,,"false","false","false",,,,,"false","false",,"false","East Asia & Pacific (excluding high income)"
,,"false",,"false",,"false",,"false","true","false","false",,"false","false","true",,"false",,"false","false","false","false","false","false","false","false","false",,,"false","false","false",,,,,"false","false",,"false","East Asia & Pacific (IDA & IBRD countries)"
,,,,"false",,,,,"false","false","false",,,"false",,,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false",,,,,,"false",,,"false","Euro area"
,,,,"false",,"true",,"false","false","false","false",,,"false","false",,"true",,"false","false","false","false","false","false","false","false","false",,"false","false","true",,,,,,"false",,,"false","Europe & Central Asia"
,,,,"false",,"false",,"false","false","false","false",,"false","false","true",,,,,,,,,,,,,,,,,,,,,,"false",,,"false","Europe & Central Asia (excluding high income)"
,,,,"true",,"false",,"false","false","false","false",,"false","false","true",,,,,,,,,,,,,,,,,,,,,,"false",,,"false","Europe & Central Asia (IDA & IBRD countries)"
,,,,"false",,,,,"false","false","false",,,"false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false",,,,,,"false",,,"false","European Union"
,,"false",,"false",,"false",,"false","false","false","false",,,"false","false",,,,"false","false","false",,"false",,"false",,,,"false","false",,,,,,,"false",,,"false","Fragile and conflict affected situations"
,,"false",,"false",,,,"false","false","false","false",,,"false","false",,"false",,"false","false","false","false","false",,"false",,,,,"false","false","false",,,,,"false","false",,"false","Heavily indebted poor countries (HIPC)"
,,,,"false",,"false",,"true","false","false","false",,"false","false","false",,"true",,"true","true","false","true","true","true","true","true","true",,"true","true","true",,,,,,"false",,,"false","High income"
,,"false",,"false",,"true",,"false","false","false","false",,"true","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,,"false","false","true",,,,,"true","true",,"false","IBRD only"
,,"true",,"false",,"true",,"false","false","false","false",,"true","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,,"false","false","true",,,,,"true","true",,"false","IDA & IBRD total"
,,"false",,"false",,,,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,,,"false","false",,"false","IDA blend"
,,"false",,"false",,,,"false","false","false","false",,,"false","false",,,,"false","false","false",,"false",,"false",,,,,"false",,,,,,,"false","false",,"false","IDA only"
,,"false",,"false",,,,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,,,"false","false",,"false","IDA total"
,,"false",,"false",,"false",,"false","true","false","false",,"false","false","true",,"false",,"false","false","false","false","false","false","false","false","false",,,"false","false","true",,,,,"false","false",,"false","Late-demographic dividend"
,,"false",,"false",,"false",,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","true",,,,"false","false",,"false","Latin America & Caribbean"
,,"false",,"false",,"false",,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","true",,,,"false","false",,"false","Latin America & Caribbean (excluding high income)"
,,"false",,"false",,"false",,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","true",,,,"false","false",,"false","Latin America & the Caribbean (IDA & IBRD countries)"
,,,,"false",,,,"false","false","false","false",,,"false","false",,,,,"false","false",,"false",,,,,,,,,,,,,,"false",,,"false","Least developed countries: UN classification"
,,"true",,"false",,"true",,"false","false","false","false",,"true","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,,"false","false","true",,,,,"true","true",,"false","Low & middle income"
,,"false",,"false",,,,"false","true","false","false",,,"false","false",,,,,"false","false",,,,,,,,,,,,,,,,"false",,,"false","Low income"
,,"false",,"false",,"false",,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","true",,,,"false","false",,"false","Lower middle income"
,,,,"false",,"false",,"false","false","false","false",,,"false","true",,,,"false","false","false","false","false","false","false","false","false",,,"false",,,,,,,"false",,,"false","Middle East & North Africa"
,,,,"false",,"false",,"false","false","false","false",,"false","false","true",,"false",,"false","false","false","false",,,"false","false","false",,,"false","false",,,,,,"false",,,"false","Middle East & North Africa (excluding high income)"
,,,,"false",,"false",,"false","false","false","false",,"false","false","true",,"false",,"false","false","false","false",,,"false","false","false",,,"false","false",,,,,,"false",,,"false","Middle East & North Africa (IDA & IBRD countries)"
,,"true",,"false",,"true",,"false","false","false","false",,"true","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,,"false","false","true",,,,,"true","true",,"false","Middle income"
,,,,"false",,"false",,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false",,,,,,"false",,,"false","North America"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false","Not classified"
,,,,"false",,"false",,"true","false","false","false",,"false","false","false",,"true",,"true","true","false","true","true","true","true","true","true",,"true","true","true",,,,,,"false",,,"false","OECD members"
,,,,"true",,"false",,"false","false","false","false",,,"false","false",,,,,"false","false",,"false",,,,,,,,,,,,,,"false",,,"false","Other small states"
,,,,,,,,"false",,,,,,,,,"false",,"false","false","false",,"false","false","false","false","false",,"false","false","false","false","false",,,,"false",,,"false","Pacific island small states"
,,,,"false",,"false",,"true","false","false","false",,"false","false","false",,"true",,"true","true","false","true","true","true","true","true","true",,"true","true","true",,,,,,"false",,,"false","Post-demographic dividend"
,,"false",,"false",,"false",,"false","false","false","false",,,"false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,,,"false","false",,"false","Pre-demographic dividend"
,,,,"true",,"false",,"false","false","false","false",,,"false","false",,,,,"false","false",,"false",,,,,,,,,,,,,,"false",,,"false","Small states"
,,"false",,"false",,"false",,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,,,"false","false",,"false","South Asia"
,,"false",,"false",,"false",,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,,,"false","false",,"false","South Asia (IDA & IBRD)"
,,"false",,"true",,,,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,,,"false","false",,"false","Sub-Saharan Africa"
,,"false",,"true",,,,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,,,"false","false",,"false","Sub-Saharan Africa (excluding high income)"
,,"false",,"true",,,,"false","false","false","false",,"false","false","false",,"false",,"false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,,,"false","false",,"false","Sub-Saharan Africa (IDA & IBRD countries)"
,,"false",,"false",,"false",,"false","false","false","false",,"false","false","true",,"false",,"false","false","false","false","false","false","false","false","false",,,"false","false","true",,,,,"false","true",,"false","Upper middle income"
,,"true",,"false",,"true",,"true","false","false","false",,"true","false","false",,"true",,"true","true","false","true","true","true","true","true","true",,"true","true","true",,,,,,"true",,,"false","World"
"true","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Afghanistan"
"true","true",,"false","false","false","false","false","false","true","true","false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false",,,"false","true","false","false",,,"false","Albania"
"false","true",,"false","true","true","false","false","false","false","false","false","false","false","false","true","true","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false",,,"false","true","false","false",,,"false","Algeria"
"false","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","American Samoa"
,"false",,,,,,,,,,,,,,,,,,,"false","false",,,,,,,,,,,,,,,"false",,,,"false","Andorra"
"true","true",,"false","false","false","false","true","false","false","false","false","false","false","false","false","false",,,,"false","false",,"false","false",,"false",,,,,,,,"false",,"false","false",,,"false","Angola"
"true","true","false",,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,"false",,,"false","false","false","true","false","false","false","false","false","Antigua and Barbuda"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","Argentina"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Armenia"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,,,,,,"false","true","false","false",,,"false","Aruba"
"true","true",,"false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false",,,"false","false",,,"false","true","false","false",,,"false","Australia"
"true","true","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false","true","false","false","false","false","false","Austria"
"false","true",,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Azerbaijan"
"false","false","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"false",,"false","false","false","false","false","Bahamas, The"
"false","false","false","false","true","true","false","false","false","false","false","false","false","false","false","true","true","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","true","false","false",,,"false","Bahrain"
"true","true","false",,"false","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Bangladesh"
"false","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Barbados"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Belarus"
"false","false",,"false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false",,,"false","true","false","false",,"false","false","Belgium"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Belize"
"false","false","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"false","Benin"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,,,,,,,,,,,,,,"false","false",,,"false","Bermuda"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true",,"false","false","false","false","false",,"false",,,"false",,"false","false","false","false",,"true","false","false","false","false","Bhutan"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Bolivia"
"false","true",,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Bosnia and Herzegovina"
"true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Botswana"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","Brazil"
"true","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false",,,,"false","British Virgin Islands"
"false","false","false",,"true","true","false","false","false","false","false","false","false","false","false","false","true",,,,"false","false",,,,,,,,,,,"false","false",,,"false","false","false",,"false","Brunei Darussalam"
"false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","true","false","false","false","false","false","Bulgaria"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false","true","false","false","false","false","false","Burkina Faso"
"false","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","Burundi"
"false","true","false",,,"false","false","true","false",,,,"false","false",,,"false","false","true",,"false","false",,"false",,,,,,,,"false","false","false","false","true","false","false","false",,"false","Cabo Verde"
"true","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Cambodia"
"false","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Cameroon"
"false","false",,"false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"false","true","false","false",,"false","false","Canada"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false",,,,"false","Cayman Islands"
"true","true",,"false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"false","true","false","false",,"false","false","Central African Republic"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Chad"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false","Channel Islands"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Chile"
"true","true","false","true","false","false","false","false","false","true","false","false","true","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false",,"false","true","false","false","false",,"false","China"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Colombia"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false",,"false",,"false","false","false",,"false","Comoros"
"false","false",,,"false","false","false","true","false","false","true","false","false","false","false","false","false",,,,"false","false",,,,,,,,,,,,,,,"false","false",,,"false","Congo, Dem. Rep."
"false","false","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,"false","false","false",,"false","Congo, Rep."
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"false","Costa Rica"
"false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,,"false","false","false",,"false",,"false","false","false",,"false","Cote d'Ivoire"
"true","false",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Croatia"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false",,"false","false",,"false","false","Cuba"
,,,,"true",,,,,"false","false","false",,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,"false","Curacao"
"true","true","false",,"false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","true","false","false",,,"false","Cyprus"
"false","false",,,"false",,,,,"true","false","false",,,"false",,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Czechia"
"true","true","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Denmark"
"true","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,,,,,,,,,,,,,,"false","false",,,"false","Djibouti"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,"false",,,"false","false","false","true","false","false","false","false","false","Dominica"
"true","true","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Dominican Republic"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Ecuador"
"false","false","false","false","false","false","false","true","false","true","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Egypt, Arab Rep."
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"false","El Salvador"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"true",,,,"false","false",,"false",,,,,,,,,,,"false","true","true","false",,,"false","Equatorial Guinea"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Eritrea"
"true","false",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Estonia"
"true","true","false","false",,"false","false","false","false",,,,"true","false",,,"false","false","true","false","false","false","false",,"false","false","false","false",,"false","false","false","false","false",,,"false","false","false","false","false","Eswatini"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false",,,,"false","false",,"false","false",,,,,"false",,,"false","false","false","true","false","false","false","false","false","Ethiopia"
"false","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,"false",,,,,,,,,,,,,"false",,,,"false","Faroe Islands"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Fiji"
"false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Finland"
"true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false","true","false","France"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,,,,,,"false",,"false","false",,,"false","French Polynesia"
"false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","true","true","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","true","false","false","false",,"false","Gabon"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,"false","false","false",,"false","Gambia, The"
"true","false",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Georgia"
"false","false",,"false","false",,,,,"false","false","true",,,"false",,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"true","true","false","false",,"true","false","Germany"
"false","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Ghana"
"false","false",,,"false","false","false","true","false","false","false","false","false","false","true","false","false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Gibraltar"
"true","true",,"false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false",,"false","false","false","false",,"false","false","false",,,,,"false","false",,"false","false","Greece"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,,,,,,"false","true","false",,,,"false","Greenland"
"false","true","false",,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,"false",,,"false","false","false","true","false","false","false","false","false","Grenada"
"false","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Guam"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"false","Guatemala"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","true","false","false","false","false","false","Guinea"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Guinea-Bissau"
"true","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false",,"false","false","false","false","false","Guyana"
"true","true",,,"false","false","false","true","false","false","false","false","false","false","false","false","false",,,,"false","false",,"false",,,,,,,,,,,"false","true","false","false",,,"false","Haiti"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Honduras"
"false","false",,"false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false",,,"false","false",,,"false",,"true","false",,,"false","Hong Kong SAR, China"
"true","false",,,"false","false","false","false","false","false","false","false","false","false","false","true","false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Hungary"
"true","true",,"false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,,,"false","false",,,"false","Iceland"
"true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","India"
"false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false",,,"false","false","false",,"false","Indonesia"
"false","true","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false","true","false","false","false","false","false","Iran, Islamic Rep."
"false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","true","true","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false",,,"false","false","false",,"false","Iraq"
"true","true",,"false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false",,,,,"false","false",,"false","false","Ireland"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false","Isle of Man"
"false","false",,"false","true","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false",,,"false","false","false",,"false","false","false",,"false","false",,,"false","true","false","false",,,"false","Israel"
"false","true",,"false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"false","true","false","false",,"true","false","Italy"
"true","true",,"false","false","false","false","true","false","true","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"false","true","false","false",,"false","false","Jamaica"
"true","false",,"false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false",,,"true","true","false","false",,"false","false","Japan"
"false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Jordan"
"false","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Kazakhstan"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false",,"false","false","Kenya"
"false","true","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","Kiribati"
"false","true",,,"false","false","false","false","false","true","false","false","true","false","false","true","true",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Korea, Dem. People's Rep."
"false","true","false","false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","Korea, Rep."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false","Kosovo"
"false","false",,"false","true","true","false","false","false","false","false","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false",,,"true","true","false","false",,,"false","Kuwait"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Kyrgyz Republic"
"true","true",,"false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false",,,,,"false","false",,,"false","Lao PDR"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Latvia"
"false","true",,,"true","false","false","true","false","false","false","false","false","false","false","true","false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Lebanon"
"true","true","false",,,,,,,,,,,,,,"false",,,,"false","false",,"false",,,,,,"false",,,"false","false","false","true","false","false","false","false","false","Lesotho"
"false","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Liberia"
